Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS11000000,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Civilian Labor Force Level,,,,,,,,,,,
Labor force status:,Civilian labor force,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,2012 to 2022,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,154381,154671,154749,154545,154866,155083,154948,154763,155160,155554,155338,155628
2013,155763,155312,155005,155394,155536,155749,155599,155605,155687,154673,155265,155182
2014,155352,155483,156028,155369,155684,155707,156007,156130,156040,156417,156494,156332
2015,157030,156644,156643,157060,157651,157062,156997,157172,156733,157167,157463,158035
2016,158280,158640,159179,159141,158784,158967,159194,159562,159714,159605,159506,159678
2017,159620,159859,160137,160345,160068,160192,160462,160586,161140,160309,160579,160535
2018,160998,161846,161760,161809,161882,162180,162288,161679,162035,162525,162738,163146
2019,163072,163114,163035,162642,162803,163029,163472,163774,164015,164336,164434,164633
2020,164479,164583,162764,156358,158122,159834,160015,160707,160153,160834,160539,160671
2021,160184,160359,160631,160978,160801,161114,161375,161505,161471,161610,162126,162294
2022,163687,163991,164409,164046,164376,164023,163960,164746,164689,,,
