date,exp_indx,imp_indx
2012-01-01,132.5,142.2
2012-02-01,133.1,142.2
2012-03-01,134.1,144.2
2012-04-01,134.7,144.1
2012-05-01,134,142
2012-06-01,131.7,138.7
2012-07-01,132.2,137.7
2012-08-01,133.4,139.4
2012-09-01,134.5,140.8
2012-10-01,134.6,141.2
2012-11-01,133.8,140.2
2012-12-01,133.6,139.4
2013-01-01,134.1,140.1
2013-02-01,135.1,141.3
2013-03-01,134.4,141.2
2013-04-01,133.6,140.2
2013-05-01,132.9,139.4
2013-06-01,132.8,138.8
2013-07-01,132.6,138.9
2013-08-01,131.9,139.4
2013-09-01,132.4,139.8
2013-10-01,131.6,138.9
2013-11-01,131.8,137.7
2013-12-01,132.3,137.8
2014-01-01,132.7,138.3
2014-02-01,133.7,139.8
2014-03-01,134.9,140.5
2014-04-01,133.5,139.7
2014-05-01,133.7,140.1
2014-06-01,133,140.5
2014-07-01,133.1,140.1
2014-08-01,132.4,139
2014-09-01,131.9,137.9
2014-10-01,130.7,136
2014-11-01,129.5,133.5
2014-12-01,128.3,130.1
2015-01-01,126.1,126
2015-02-01,125.9,125.5
2015-03-01,125.9,125.3
2015-04-01,125.1,125.1
2015-05-01,125.7,126.5
2015-06-01,125.3,126.6
2015-07-01,124.8,125.4
2015-08-01,123,123.2
2015-09-01,122.3,121.9
2015-10-01,122,121.5
2015-11-01,121.1,120.8
2015-12-01,119.8,119.3
2016-01-01,118.7,117.8
2016-02-01,118.2,117.2
2016-03-01,118.1,117.7
2016-04-01,118.7,118.5
2016-05-01,120,119.9
2016-06-01,120.9,120.7
2016-07-01,121.1,120.8
2016-08-01,120.1,120.5
2016-09-01,120.5,120.6
2016-10-01,120.7,121.2
2016-11-01,120.8,121.1
2016-12-01,121.3,121.6
2017-01-01,121.6,122.3
2017-02-01,122,122.7
2017-03-01,122.1,122.5
2017-04-01,122.4,122.8
2017-05-01,121.7,122.7
2017-06-01,121.6,122.4
2017-07-01,122.2,122.2
2017-08-01,122.9,122.9
2017-09-01,123.9,123.9
2017-10-01,124,124.1
2017-11-01,124.6,125.3
2017-12-01,124.7,125.5
2018-01-01,125.6,126.5
2018-02-01,125.8,126.8
2018-03-01,126.3,126.5
2018-04-01,126.9,127.1
2018-05-01,127.8,128.2
2018-06-01,128,128.2
2018-07-01,127.4,128.1
2018-08-01,127.3,127.6
2018-09-01,127.3,127.7
2018-10-01,127.9,128.3
2018-11-01,126.9,126.2
2018-12-01,126.1,124.4
2019-01-01,125.3,124.6
2019-02-01,126.1,125.9
2019-03-01,127,126.6
2019-04-01,127.1,126.8
2019-05-01,126.7,127
2019-06-01,126,125.6
2019-07-01,126.2,125.6
2019-08-01,125.5,124.9
2019-09-01,125.1,125
2019-10-01,125.1,124.5
2019-11-01,125.2,124.7
2019-12-01,125,125
2020-01-01,125.8,125.2
2020-02-01,124.3,124.3
2020-03-01,122.5,121.3
2020-04-01,118.2,118.2
2020-05-01,118.2,119
2020-06-01,120.3,120.6
2020-07-01,121.5,122.1
2020-08-01,122.1,123.2
2020-09-01,122.8,123.4
2020-10-01,123,123.3
2020-11-01,124,123.4
2020-12-01,125.5,124.6
2021-01-01,128.9,126.5
2021-02-01,131,128
2021-03-01,134.3,129.9
2021-04-01,135.9,131.1
2021-05-01,139,132.8
2021-06-01,140.6,134.2
2021-07-01,142.1,134.6
2021-08-01,142.4,134.3
2021-09-01,142.8,134.9
2021-10-01,145.5,136.9
2021-11-01,146.5,137.9
2021-12-01,144.2,137.4
2022-01-01,148.2,140.1
2022-02-01,153,142.6
2022-03-01,159,146.8
2022-04-01,160.6,147.5
2022-05-01,164.9,148.2
2022-06-01,166.6,148.5
2022-07-01,160.4,146.3
2022-08-01,157.8,144.8
